Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
Administration,Aug-24,10132904,8835124,1297780,10215751.09541877,10.33,High
Tech Innovation,Nov-24,,5161963,,3059928.418693248,7.62,High
Cybersecurity,Feb-24,7805393,4887198,2918195,6534985.78088392,7.15,Medium
R&D,-,8913771,7745581,1168190,8544676.804996938,6.87,High
Defense Systems,Sep-24,5440253,6258415,-818162,5281571.301511521,14.45,Low
Administration,Oct-24,7409178,8953164,-1543986,6859306.602669442,5.12,High
Energy Production,Dec-24,2864041,9037522,-6173481,3086832.727362547,5.91,High
Cybersecurity,Nov-24,4553074,5702006,-1148932,5416243.768238859,10.79,Low
R&D,May-24,3630661,7655441,-4024780,3568258.954520643,11.67,Medium
Defense Systems,Mar-24,9661382,10902704,-1241322,,7.37,Medium
Administration,Jul-24,10822455,2138924,8683531,12457535.19718821,-3.88,Low
Space Exploration,Sep-24,6277054,7586371,-1309317,5132295.908833285,3.79,Low
Medical Research,Nov-24,11973230,5867498,6105732,-,4.08,High
R&D,Dec-24,10439974,7543204,2896770,7703667.776886595,2.85,Medium
R&D,Oct-24,11820502,6780503,5039999,11602139.03676722,7.02,High
,Oct-24,3322768,,-1906910,3208969.460766084,-1.07,
Energy Production,Sep-24,9398371,5751485,3646886,8399695.554641956,11.46,Medium
Administration,Jun-24,7094201,3956408,3137793,7839310.794572745,1.07,-
Tech Innovation,Mar-24,11843122,8799682,3043440,11522384.14811901,2.59,High
Administration,Jul-24,7219050,6961894,257156,5349413.170815845,7.4,Low
Defense Systems,Apr-24,11788016,-,3931354,13249621.33240631,-0.17,High
Medical Research,May-24,6681358,9149090,-2467732,6052990.169844152,12.53,Low
Energy Production,Dec-24,9473673,7209200,2264473,7484099.450049076,7.55,Medium
Energy Production,Feb-24,11253767,9525825,1727942,12976690.5021142,10.63,High
Medical Research,Apr-24,2268741,5358281,-3089540,,1.52,High
Space Exploration,Dec-24,7970438,3768485,4201953,8573037.148915313,,High
Administration,Nov-24,6671055,5192907,1478148,6681618.821324805,-0.08,Medium
Energy Production,Oct-24,9867156,5596604,,7106532.880330444,-0.36,High
Space Exploration,May-24,6199005,9762078,-3563073,5210083.554365033,4.99,High
Space Exploration,Feb-24,7258035,4911802,2346233,7577463.825085539,7.68,High
Administration,Dec-24,11395527,9753979,1641548,10179709.25081705,14.74,-
Medical Research,Jun-24,10209282,4207521,6001761,9202967.078039395,2.84,High
Administration,Feb-24,8360242,10549443,-2189201,7958413.534882937,-1.92,Low
Defense Systems,Nov-24,7446756,8143415,-696659,5713125.740137377,5.89,Medium
Defense Systems,Dec-24,10980144,6828024,4152120,10604373.62861796,6.48,Medium
Administration,Dec-24,2421368,1951143,470225,,10.77,Medium
Medical Research,Apr-24,7730709,3571970,4158739,8697217.017732779,7.85,High
R&D,Sep-24,8669256,8264887,404369,7133288.359304436,2.4,Medium
R&D,Nov-24,11568534,10047482,1521052,11967630.56238896,-2.79,-
Cybersecurity,May-24,11965290,5307027,6658263,9502051.01971131,7.4,Medium
Cybersecurity,Mar-24,4452933,4725338,-272405,4831571.462290799,6.86,Medium
nil,Nov-24,3559555,-,-146550,2789051.894833786,-4.08,Low
Energy Production,Oct-24,7861761,4095217,3766544,9250149.835324258,9.23,Low
Cybersecurity,Apr-24,,3785841,-1495088,1740411.563015458,13,Low
Energy Production,Nov-24,9862251,8017584,1844667,9175951.660408912,4.33,Medium
Cybersecurity,Dec-24,6990419,10314217,-3323798,6144776.542015951,0.39,High
Tech Innovation,Apr-24,11398984,3560565,7838419,12492925.4752564,7.65,Medium
,Oct-24,8088291,10518306,-2430015,7799638.4278742,-3.6,Medium
Energy Production,Apr-24,11531962,7978839,3553123,8189779.986951787,9.82,Low
Cybersecurity,Jul-24,8343720,3565266,4778454,,1.22,Medium
nil,Sep-24,5999515,3045171,2954344,4234286.510161085,-3.52,High
Defense Systems,,9053136,7249985,1803151,6842430.880801699,12.48,Low
Energy Production,May-24,3940287,5261543,-1321256,4190913.829311771,-4.16,Medium
Medical Research,Oct-24,5464852,,3445413,5730397.177721309,8.09,High
Administration,,11267038,7172147,4094891,-,-0.51,nil
R&D,Feb-24,5833748,2168118,3665630,4581979.215052874,0.41,Low
Space Exploration,Aug-24,11312243,5870211,5442032,12506315.70313782,6.67,Medium
Defense Systems,Feb-24,9808147,,2565274,8139190.511658443,7.82,Low
Space Exploration,Nov-24,5121735,1576669,3545066,5042346.869917385,-4.33,Low
R&D,Dec-24,11092859,6588018,4504841,9335406.306132711,14.14,Medium
Medical Research,Oct-24,11298785,7596672,3702113,10709080.16947709,12.29,Medium
Cybersecurity,Jan-24,,,2961376,5976786.314199906,6.33,High
Medical Research,Mar-24,11449924,2276931,9172993,13700113.19016741,-1.15,High
Cybersecurity,Dec-24,,6372840,-3222296,2994858.700686863,1.72,Medium
Cybersecurity,Oct-24,4377805,,-5564406,4079025.089718821,6,Medium
Medical Research,Dec-24,7899128,9120122,-1220994,5917660.837012468,-3.38,Medium
Energy Production,Mar-24,7903848,3944312,3959536,,6.61,High
Energy Production,Sep-24,5833042,8201994,-2368952,5014770.881494363,8.62,
Medical Research,Oct-24,7459470,6441315,1018155,6737921.691810984,-2.29,High
Tech Innovation,May-24,10734286,3529335,,10495931.69083427,5.05,Low
R&D,Nov-24,4061183,3813561,247622,3294990.280688258,0.7,High
Tech Innovation,Mar-24,5236669,10333837,-5097168,4797788.94117815,-3.54,High
Space Exploration,Aug-24,11603372,6862303,4741069,12793521.74727153,11.29,
Medical Research,Apr-24,8752573,4487003,4265570,8261061.882816378,2.35,Medium
Cybersecurity,Apr-24,7551243,4773917,2777326,7096343.771737588,14.78,High
Space Exploration,-,8310583,8456106,-145523,6020012.947926909,-1.57,Low
Space Exploration,Aug-24,9319504,6272196,3047308,,-4.98,High
Cybersecurity,Feb-24,7706068,,-3176618,8708520.198663939,13.52,Low
Tech Innovation,Jan-24,4473200,2947189,1526011,4109821.736510576,8.96,High
Defense Systems,Apr-24,3162679,2109947,1052732,2986541.300330605,3.23,Medium
Energy Production,Apr-24,2171330,2690120,-518790,2579143.070568082,0.39,Medium
Defense Systems,Feb-24,8372865,3662221,4710644,6809527.806101256,1.14,Medium
Administration,,5513424,4719105,,4565190.086965844,2.88,Low
Defense Systems,Apr-24,4177925,1624666,2553259,4664041.594256983,1.64,-
R&D,Jul-24,8227548,4832895,3394653,6190105.453145334,,Medium
Tech Innovation,Sep-24,2070490,7856628,-5786138,2465770.073651175,11.93,Low
Tech Innovation,Jan-24,3040298,3325389,-285091,2496492.389719017,1.64,High
,Aug-24,5207934,9009671,-3801737,5839922.169614163,7.63,Medium
Tech Innovation,May-24,7207752,,3799491,6530217.807739495,-2.31,High
Medical Research,Dec-24,2248428,4154586,-1906158,1659377.681422213,9.59,Low
R&D,Jan-24,6014166,5046799,967367,6992930.203426428,9.01,High
Space Exploration,Mar-24,8793111,9106320,-313209,8560345.580610828,-3.87,Low
Energy Production,Sep-24,2069706,4733561,-2663855,2042612.544461074,-2.35,High
Administration,Jan-24,2102313,5154520,-3052207,1936494.039831492,11.96,Medium
R&D,Feb-24,7946205,6119960,1826245,6510252.049793677,-4.66,Medium
Administration,Sep-24,9016217,3201972,5814245,8722339.987436473,5.41,High
Space Exploration,Oct-24,3122413,7603271,-4480858,3590909.890319454,4.7,Low
Cybersecurity,Aug-24,5895983,8307382,-2411399,5882147.612820489,-5,-
Energy Production,Jul-24,2598840,7570390,-4971550,2107125.221381007,1.69,Medium
Administration,May-24,9417885,3973344,5444541,10496950.87813229,10.13,-
Cybersecurity,Aug-24,8394991,4691299,3703692,9762824.538569784,2.66,Medium
Cybersecurity,Jan-24,9842617,3539950,,10063712.60444932,0.01,
Space Exploration,Mar-24,5599328,8527813,-2928485,6226325.532826132,9.02,
Tech Innovation,May-24,8829330,7636209,1193121,6943352.443848287,-0.95,High
Energy Production,Feb-24,8788541,,3171586,6741984.389830639,0.29,High
Medical Research,Feb-24,8162453,9101791,-939338,7138042.651140608,-3,Medium
Energy Production,Feb-24,10104996,8234041,,9282896.156868124,3.81,Medium
Space Exploration,May-24,,5715574,3634746,10469967.94139498,10.29,High
Tech Innovation,Jun-24,6189879,5058939,1130940,4820261.357775348,0.62,Medium
Tech Innovation,Jul-24,2644277,10953983,-8309706,2405166.753686027,12.05,High
Administration,Oct-24,7241322,5719261,1522061,7406882.59237996,-2,Medium
Space Exploration,Jun-24,4978085,4654016,324069,4539909.742747958,,Low
Medical Research,Dec-24,11135403,2780583,8354820,10012595.32685001,8.31,Low
Cybersecurity,Sep-24,6698276,5498734,1199542,-,-1.55,High
Medical Research,Feb-24,6298243,4132430,2165813,6254568.593945113,14.48,Medium
Space Exploration,Sep-24,10140145,6807739,3332406,8059966.807827706,0.96,Medium
Defense Systems,Apr-24,6034684,10083813,-4049129,5738910.637872944,5.58,Low
Tech Innovation,Jun-24,11180005,7615193,3564812,9553983.33692006,-0.62,High
R&D,Mar-24,6266336,8506719,-2240383,4736639.4689116,2,High
Cybersecurity,May-24,5065793,2231945,2833848,4511305.537291554,1.35,High
R&D,Jul-24,4497290,4750095,-252805,4500733.763793003,13.07,High
Tech Innovation,Feb-24,3617729,6477327,-2859598,,11.27,High
Energy Production,Feb-24,5992714,4937083,1055631,6364185.374922228,-2.6,Medium
Cybersecurity,Aug-24,5067248,3453489,1613759,4696314.395090153,-1.72,Low
Cybersecurity,Mar-24,8607875,3763258,4844617,7585071.926809171,-0.68,
Medical Research,Oct-24,2865380,2019662,845718,2064348.180890824,-1.17,Low
Medical Research,May-24,10615963,7388314,3227649,8265803.349851541,-0.17,Low
R&D,Apr-24,9573905,1716458,7857447,9022247.034716804,1.64,Medium
Administration,May-24,6528923,-,-764962,5369956.908522748,-0.43,
Energy Production,Nov-24,10985714,9785527,1200187,10679155.20446417,9.89,Medium
Administration,Jul-24,11033338,5083981,5949357,8640055.103990383,-2.67,
Tech Innovation,Mar-24,11208820,8785471,2423349,10438320.27197939,4.67,Low
Administration,Feb-24,11432998,3378305,8054693,11103075.42177488,7.5,Medium
Space Exploration,Aug-24,,10781453,-7353239,3226515.622556565,1.48,
Medical Research,Dec-24,6482696,6985062,,5440118.934867157,-1.66,Low
R&D,Sep-24,10518215,5510093,5008122,11330061.79074303,,High
Tech Innovation,May-24,11559174,3222786,8336388,8584389.683703318,-3.05,Medium
Tech Innovation,Nov-24,7841987,2105815,5736172,5807500.192151327,-,Low
Energy Production,nil,2327360,4695598,-2368238,2520335.041868799,-0.33,Low
R&D,Feb-24,2606187,10106648,-7500461,2312276.067941981,11.35,
Defense Systems,Oct-24,6563085,9640212,-3077127,4684275.795010392,10.18,
Medical Research,Jul-24,8319524,,-,5937745.87539384,7.22,High
Cybersecurity,Oct-24,5885466,3575261,2310205,6501995.969018217,10.11,High
nil,Jul-24,5135305,3308734,1826571,3667009.775199947,12.13,Low
Defense Systems,May-24,,4210069,3438850,7645257.295806051,5.63,High
Cybersecurity,Jul-24,3021713,9777794,-6756081,3060363.207822908,7.92,High
Space Exploration,May-24,9198784,5773792,3424992,7118597.4487666,14.62,Medium
Space Exploration,May-24,11196937,2663173,,8976542.718947103,13.28,Low
Cybersecurity,Jul-24,8423060,-,-2086249,nil,5.64,High
Space Exploration,Aug-24,5755967,4703656,1052311,6644447.064071379,3.31,Medium
Defense Systems,Aug-24,9769504,3210915,6558589,11301049.05328456,,Low
Cybersecurity,Feb-24,4059999,,-2550057,4234321.022520081,0.76,Low
Energy Production,Jun-24,11392343,7857984,3534359,8046136.742480605,13.78,
Defense Systems,Jan-24,3216143,7764599,-4548456,3501560.285990656,9.84,Low
Medical Research,Nov-24,3989001,4919442,-930441,4758180.386648653,8.87,High
Tech Innovation,Nov-24,,2089128,3745085,5872578.972470149,-3.06,Low
Energy Production,Nov-24,3895757,4244971,-349214,4311966.314726408,2.91,Low
Cybersecurity,Dec-24,9157547,7214919,1942628,10924181.73951329,1.2,Medium
Medical Research,Aug-24,3281094,nil,-3078781,3682030.89047531,5.03,High
R&D,Feb-24,5770757,-,3422244,-,5.25,High
Medical Research,Dec-24,10184509,,1091329,12023903.61533362,12.53,High
Energy Production,Jun-24,3705973,9712170,-6006197,2882020.661963676,,High
Administration,Jun-24,9861364,3205265,6656099,9147145.262877148,10.45,Medium
Defense Systems,Jun-24,5059240,8283628,-3224388,4757782.498123662,0.36,Medium
R&D,Jul-24,3656861,3088580,568281,3485316.596916586,9.5,High
Space Exploration,Feb-24,9123644,2807618,6316026,7574736.237332281,12.42,High
R&D,-,4738641,6346841,-1608200,4971433.990987392,-3.8,Low
Cybersecurity,Jan-24,3882630,2672447,1210183,3688009.284550329,12.78,High
Energy Production,Apr-24,11628826,,8970009,11966985.45388977,0.97,High
Cybersecurity,Oct-24,7514791,9551965,-2037174,7295356.46577814,-2.98,Low
Administration,Oct-24,7426916,,-2386896,6694484.978693767,0.06,
Cybersecurity,Nov-24,8639404,8419353,220051,6962807.204291647,3.37,High
Space Exploration,Dec-24,7099715,5786255,1313460,6268467.149747564,8.46,Low
Medical Research,Jul-24,3804990,8928226,-5123236,4097751.932754365,4.57,Medium
Tech Innovation,Feb-24,4303383,2572267,1731116,3164488.082684235,,High
-,nil,7733844,2606190,5127654,6658300.820771514,8.68,High
Defense Systems,Nov-24,6317973,9200017,-2882044,7446085.33999676,7.74,
Energy Production,-,2771978,4674884,-1902906,2217296.91880335,14.69,High
Administration,Jan-24,6366644,2052461,4314183,7148675.947614128,11.44,High
Administration,May-24,11153657,6370145,4783512,12620703.37621299,-1.93,-
Cybersecurity,Jul-24,,4273636,6862123,11249659.01927308,-0.39,Medium
Cybersecurity,Sep-24,3276467,7716968,-4440501,3345381.748883,9.19,High
Administration,May-24,3432300,6276060,-2843760,2980576.41048371,12.89,Medium
Administration,Aug-24,9271620,9992292,-720672,nil,8.42,High
Tech Innovation,Oct-24,,8385367,2056089,8149645.201115849,8.13,
Cybersecurity,Jan-24,11344629,7628855,3715774,9656702.077956898,8.42,Low
Administration,Apr-24,6724133,9297735,-2573602,5672805.561932367,-1.33,Medium
Space Exploration,Jul-24,3488015,7476940,-3988925,3136366.632704035,-2.9,High
-,Jul-24,4629220,10478785,-5849565,4041493.485656159,9.22,High
Medical Research,May-24,5373845,9406248,-4032403,,5.6,Low
Space Exploration,Feb-24,2627824,3490424,-862600,2502508.544831799,0.75,Low
Administration,Jun-24,7460054,4152551,3307503,7995699.711225744,-2.6,
Cybersecurity,Apr-24,6927285,7644558,,7292494.346074481,11.08,High
Cybersecurity,Oct-24,11558413,10366077,1192336,10390012.18740463,-4.13,Medium
Administration,Oct-24,8348316,9261719,-913403,6203560.335020803,12.11,High
Medical Research,Jul-24,5449520,10831117,-5381597,5409077.395803364,5.77,Low
Medical Research,Apr-24,7898850,3438366,4460484,8599868.806638503,5.11,Medium
Administration,Mar-24,10628856,5253313,5375543,7582796.416724057,,
Cybersecurity,Jul-24,10154989,8465586,1689403,10250852.86658073,-0.25,Low
R&D,Jun-24,3066940,9110025,-6043085,2547258.005017685,-0.85,High
Tech Innovation,Apr-24,8800501,1572782,7227719,6217932.746353153,5.02,High
R&D,Oct-24,5420427,8487562,-3067135,5522263.609819148,12.72,Low
,Dec-24,10893724,6614889,4278835,10068785.00396452,12.02,Medium
Medical Research,Jan-24,7933111,7803842,129269,5574978.0896409,11.52,Low
Administration,Jan-24,4735470,2461308,2274162,5525234.374907264,13.2,Medium
Defense Systems,May-24,9510485,10294388,-783903,8453456.17975777,3.11,High
Medical Research,Nov-24,3936869,nil,-5935871,3791937.421608369,7.25,Low
Space Exploration,Nov-24,-,3412768,8290640,10943845.80376315,14.52,High
Tech Innovation,Jan-24,5405787,1941835,3463952,4250073.714429828,-4.62,Medium
Administration,Jun-24,9987467,10568604,-581137,7305569.43570815,-4.44,Medium
Medical Research,Jan-24,2181862,4316909,,1572022.789645509,-2.32,Medium
Space Exploration,Jun-24,,3181315,,4925569.414357722,3.45,Medium
Tech Innovation,Jun-24,5695266,7126529,-1431263,5656976.866612257,,Medium
Medical Research,Jul-24,7625896,3954281,3671615,8493609.645771915,-2.15,Low
Tech Innovation,Oct-24,3170935,8123331,-4952396,2352413.08998528,-4.13,Low
Space Exploration,Dec-24,9890700,10990443,-1099743,8687856.336311454,-0.46,Medium
Energy Production,Apr-24,10122271,7366147,,8665798.116798293,8.21,Low
Tech Innovation,Feb-24,3036415,5168026,-2131611,3577097.612788128,-3.17,Medium
R&D,Aug-24,8535847,7350115,1185732,9043348.758339407,14.53,Medium
Tech Innovation,Nov-24,,10589885,-2175270,9633041.537365716,12.06,Medium
Space Exploration,Mar-24,4363336,7793325,-3429989,,-4.92,High
Space Exploration,Dec-24,6310055,2142603,4167452,7056693.78429221,6.43,High
R&D,,10713965,3848915,6865050,8533374.853653597,14.55,Medium
Administration,Sep-24,8666620,6843668,1822952,,1.38,Low
R&D,Oct-24,7065169,-,2195355,7528529.537776394,-2.03,Medium
Defense Systems,Jul-24,6293013,4578474,1714539,7425493.274669075,2.48,High
Tech Innovation,nil,8126330,7250656,875674,7139080.167463483,0.38,High
Space Exploration,Feb-24,-,4612371,-902153,2825686.032239779,-,Medium
,Nov-24,5815118,7078457,-1263339,5600811.754083247,11.16,Medium
Tech Innovation,Jun-24,11992851,7388353,4604498,12275700.86450727,7.74,-
Cybersecurity,Apr-24,,3198339,408098,3230692.196836763,5.46,High
R&D,Sep-24,3436369,9725964,-6289595,2977973.533146683,-,Medium
Defense Systems,Apr-24,4348036,5992299,-1644263,3462421.229331554,5.34,Medium
Medical Research,Jan-24,9847803,6217574,3630229,8963522.422574304,5.81,Low
Cybersecurity,Sep-24,5450524,4002400,-,4637677.415627976,15,High
Space Exploration,,10715781,5002036,,11110228.02939237,13.26,Medium
nil,Aug-24,10203020,10426212,-223192,10631808.38032949,9.41,High
Cybersecurity,May-24,6336919,,-1373986,4754125.221121443,,High
Medical Research,Jul-24,8524869,7183228,1341641,9249991.42078023,nil,Medium
Energy Production,Dec-24,8933106,4873537,4059569,8821852.98769895,,Medium
Energy Production,Oct-24,6293857,5783009,510848,5643768.295030021,8.86,High
Space Exploration,Jun-24,5451705,9732346,,4864054.020599538,-1.89,Low
Administration,Mar-24,5761785,2220997,3540788,5722471.35557766,14.74,Low
-,Oct-24,11729861,5450760,6279101,-,3.12,High
Cybersecurity,,6970206,5231033,1739173,7419086.413300855,4.4,Low
Space Exploration,Jul-24,4345008,10351912,-6006904,3070482.215544389,-4.74,Medium
,May-24,10975096,4335335,6639761,10882852.87843292,-4.85,Medium
Cybersecurity,Dec-24,11482368,5643160,5839208,12420078.16761176,-3.68,High
R&D,Jun-24,5305019,6968650,-1663631,4843131.242696729,13.95,High
Administration,Feb-24,4891929,5502705,-610776,,2.93,Low
Space Exploration,Sep-24,8904653,6603471,2301182,7531123.691995831,13.33,Medium
Medical Research,,8139180,5023564,3115616,7048939.909401672,6.71,High
Tech Innovation,Feb-24,2804285,9975131,-7170846,,14.04,Low
Space Exploration,Apr-24,4042540,4757992,-715452,2986572.115575386,8.99,High
Administration,-,9116463,4918265,4198198,,4.79,Low
R&D,Nov-24,6811556,9366285,-2554729,4832162.354772916,,Medium
,Jan-24,7966992,10770283,-2803291,7939850.686936979,3.87,Medium
R&D,Apr-24,11111877,8389622,2722255,12500541.13892823,-,Medium
Cybersecurity,Oct-24,8680452,10417347,-1736895,,1.94,Low
Cybersecurity,Jul-24,9107713,6090047,3017666,9957937.86611336,-1.32,High
R&D,Apr-24,8992493,3104217,5888276,10748162.46908421,-,Low
Tech Innovation,Jun-24,9393770,9266424,127346,,-1.75,High
Energy Production,May-24,5097341,2400959,,5657394.060609185,6.46,Medium
Administration,Feb-24,10262230,5754896,4507334,9926294.037766613,,Low
Space Exploration,Nov-24,8954546,4074657,4879889,7495178.534686644,-0.35,Medium
Energy Production,Aug-24,11964942,4966550,6998392,10027641.0542535,-1.71,High
Space Exploration,May-24,9132565,9911869,,8621705.140345529,,Medium
Defense Systems,Mar-24,7797271,,-1397504,8609231.269544046,8.53,Low
Administration,Jul-24,7824742,8066360,-241618,5845878.372783861,2.84,High
Cybersecurity,nil,,-,-3021953,3753537.701749707,14.67,High
Cybersecurity,Feb-24,3385289,9877250,-6491961,3391872.364998498,-2.39,Medium
Cybersecurity,Aug-24,11957453,,1666893,10493622.08130538,6.75,Medium
-,Jul-24,8719861,9950262,-1230401,8007779.163260267,13.2,Low
Energy Production,Dec-24,8393526,6238414,2155112,,14.1,Medium
Administration,-,9136539,,2832908,10760491.5348995,0.5,Low
Space Exploration,Sep-24,4304290,8104487,-3800197,4962075.027582501,-4.31,Medium
Cybersecurity,Aug-24,2845794,2811898,33896,3064114.845339111,2.65,
Cybersecurity,Nov-24,6502990,1597892,4905098,5400507.519834828,-3.53,nil
Medical Research,Jul-24,3344224,10404860,-7060636,2755265.10208099,-1.76,High
Medical Research,,11609850,8950349,2659501,10809977.37522227,8.41,High
Defense Systems,May-24,10562286,10062553,499733,11569399.45242814,11.7,Medium
Tech Innovation,Oct-24,11603829,8866509,2737320,9689161.136481091,2.74,Medium
Administration,Feb-24,3885173,9507783,-5622610,4497727.968692987,13.93,Low
Defense Systems,Oct-24,11783625,2963567,8820058,11852985.14501398,2.38,Medium
Defense Systems,Jul-24,-,10426718,-5983123,4187680.479808062,14.71,
Energy Production,Jul-24,2914920,3725570,-810650,3300751.978312407,-3.13,Low
Space Exploration,Sep-24,6499987,,nil,7783889.893869476,6.93,Medium
Cybersecurity,,6488999,6208330,280669,7377663.060922454,2.48,High
Cybersecurity,Jun-24,7781711,6368942,1412769,,8.76,High
Tech Innovation,Oct-24,4444167,6173218,-1729051,4367237.643388671,-,High
Cybersecurity,Apr-24,-,2643284,1619426,5067856.416299467,-0.47,High
Defense Systems,Jan-24,9139954,3157270,5982684,10152281.6111845,9.25,Medium
Defense Systems,Jan-24,7531197,2937416,4593781,6907183.572134985,-,Low
,Aug-24,7657598,6063776,1593822,7925664.040868748,0.95,Medium
Energy Production,Apr-24,5222470,6802526,-1580056,4490558.093062291,-4.39,High
Energy Production,Oct-24,9560521,2714019,6846502,8145149.636554579,,Low
Cybersecurity,nil,3863708,8841544,-4977836,-,2.82,High
R&D,Feb-24,6260437,10568562,-4308125,6867142.472224763,8,Low
Space Exploration,Mar-24,3195235,4837522,-1642287,3062423.828108678,-2.23,Low
R&D,Jan-24,8278080,5817446,2460634,6246251.058091346,-4.13,High
Tech Innovation,Jan-24,11566535,9623720,1942815,-,1.74,High
Tech Innovation,Mar-24,3850042,6388118,-2538076,3699333.9291387,13.28,Low
Cybersecurity,Sep-24,nil,8830161,-3606774,4490373.626685592,0.23,
Administration,Mar-24,8529602,9347662,-818060,7443767.350894909,5.16,Medium
Administration,Jul-24,3215656,,-4768340,2914730.085006612,7.32,High
R&D,May-24,9674780,6646162,3028618,10350758.61989833,4.23,nil
Defense Systems,Sep-24,2291843,,-3651181,1933374.293238643,-4.33,High
Administration,Dec-24,11677608,5024236,6653372,8554737.953592923,0.51,Low
Administration,Jun-24,2847625,2871410,-23785,3166755.237224429,10.25,Low
Administration,May-24,8620703,1921525,6699178,10116617.04621311,14.99,Low
Tech Innovation,May-24,6279837,5659256,620581,6838462.406876824,0.04,High
Tech Innovation,Oct-24,8380172,10881380,-2501208,9752138.387579694,9.93,Low
,Jul-24,9850432,7220334,2630098,nil,14.97,Low
,Nov-24,9978054,3564107,6413947,10208289.65411947,1.02,Low
Administration,Feb-24,4054803,6644775,-2589972,3273748.121458471,7.9,High
Tech Innovation,Jun-24,5205100,5327250,-122150,6045266.547106112,1.48,High
Administration,Aug-24,10623618,10885347,-261729,10245968.52952452,-4.42,
Medical Research,Jan-24,11069284,5445700,5623584,7851536.63223218,-3.87,Medium
Defense Systems,Jun-24,2272848,,-1309669,2299685.498229497,11.54,Medium
Space Exploration,Oct-24,11827514,4476555,7350959,11420662.00729936,13.46,Low
Space Exploration,Dec-24,8494321,2986882,-,9761715.785151677,-2.7,Low
R&D,Jul-24,9248890,7213456,2035434,-,-2.52,Medium
Administration,Nov-24,10213321,2746838,7466483,9748575.196720451,-1.59,High
Space Exploration,Nov-24,3064861,8394142,-5329281,2792771.421523695,12.75,Low
Space Exploration,Oct-24,,2665054,-636810,1741474.039845608,4.22,High
Administration,May-24,7896682,7148276,748406,9057302.480520198,1.08,Low
Defense Systems,Apr-24,2238624,10638422,-8399798,2322857.609985736,14.19,Medium
Space Exploration,Aug-24,6009142,3268893,2740249,6784071.334090436,14.18,Low
Space Exploration,Dec-24,2859466,7844934,-4985468,2352634.727174839,4.33,Medium
R&D,Aug-24,,5935562,-,10772207.71950327,-3.23,Low
Tech Innovation,Sep-24,4489459,5207230,-717771,,0.24,High
Administration,,8581096,4895387,3685709,6282743.37441499,,Low
Energy Production,Dec-24,3953482,10054116,-6100634,2930417.748761644,1.73,Medium
Energy Production,Dec-24,,7296263,2955603,11221400.39825721,1.83,High
Cybersecurity,Aug-24,2486302,,-2547183,2520932.030609756,3.45,High
Cybersecurity,Jul-24,,4994139,-,9969523.207152313,6.76,Low
Space Exploration,Jan-24,10959265,6310376,4648889,13143145.15058782,5.1,
,Sep-24,7896472,1791367,6105105,6796236.65825468,-0.38,Low
R&D,Dec-24,7504923,2655442,4849481,7457544.812674853,4.64,Low
,Dec-24,5602384,10792211,-5189827,4501980.082032043,-0.38,Medium
Administration,Sep-24,nil,6558022,-4470521,2232062.326664182,-3,High
Energy Production,Oct-24,9848031,9850081,-2050,9253629.474972848,-1.95,Medium
Medical Research,Oct-24,8772050,4455578,4316472,9184629.207453903,8.36,
Cybersecurity,May-24,3317121,5404908,-2087787,2447926.35205785,13.24,Low
Space Exploration,May-24,6457826,6567766,-109940,4882167.477453589,1.73,High
Tech Innovation,May-24,6979810,10516373,-3536563,7942133.994779931,13.65,Low
Space Exploration,Aug-24,,4443198,411612,5061544.194956605,-3.3,Low
Administration,Jun-24,2724480,nil,-5701914,,3.62,Medium
Space Exploration,Feb-24,10547526,10201630,345896,9353885.696262326,3.83,Low
Energy Production,Jul-24,9770708,,4612111,9531618.314079383,3.05,High
Tech Innovation,Jan-24,6399983,,3838887,6031409.919876022,,Medium
Tech Innovation,Apr-24,10956779,,,9019093.467259362,-4.95,nil
Space Exploration,Jan-24,4026653,2157762,1868891,3294876.481282354,10.03,Low
R&D,,5216366,9747640,-4531274,5140083.207002581,11.22,Low
nil,Feb-24,6201153,5621422,579731,4968713.66959196,-4.55,
Tech Innovation,Nov-24,8376126,2057751,6318375,9512926.714378549,-4.3,Medium
,Mar-24,11875063,2739906,9135157,,-1.78,-
Defense Systems,May-24,7548631,4643526,2905105,,3.66,High
Medical Research,Oct-24,10225691,3908191,6317500,12067304.0937835,1.19,Low
Tech Innovation,,2225899,4922488,-2696589,,12.84,Low
Energy Production,May-24,5995534,10343651,-4348117,4459183.702470628,1.63,High
Defense Systems,Mar-24,6187192,2160909,4026283,4393121.668811337,6.96,Low
R&D,Nov-24,10531665,10289053,242612,12523537.15311418,-2.37,-
Space Exploration,Apr-24,nil,6966962,1171625,8308314.761921247,0.58,Medium
Cybersecurity,Aug-24,11866519,6639806,5226713,10893688.83952244,-1.31,Medium
Energy Production,Sep-24,5180620,7205257,-2024637,nil,6.5,Low
Administration,May-24,6753173,4789641,1963532,6298536.996393744,8.8,Medium
Energy Production,Jun-24,6129988,8866773,-2736785,5175733.721372659,0.86,Medium
R&D,nil,10651191,4040282,-,8235219.040576653,7.55,High
Defense Systems,Jun-24,6960295,7061164,-100869,,-2.4,Low
Tech Innovation,,6591038,7932618,-1341580,7166052.65515063,9.3,High
nil,Aug-24,3715992,6571160,-2855168,3971710.490091266,6.36,Medium
Tech Innovation,-,8909729,8608833,,8667559.632737832,-0.2,Low
